open,high,low,close,volume,buy_volume,sell_volume,bar_idx
25872.75,25883.75,25872.75,25882.5,148.0,139.5909090909091,8.409090909090907,69
25882.75,25887.5,25881.5,25883.0,124.0,64.58333333333334,59.41666666666666,70
25884.25,25888.0,25881.0,25887.25,112.0,80.0,32.0,71
25887.75,25896.5,25887.5,25894.25,289.0,248.86111111111111,40.138888888888886,72
25894.25,25897.0,25892.5,25895.0,124.0,72.33333333333334,51.66666666666666,73
25895.0,25896.75,25893.25,25894.75,96.0,44.57142857142857,51.42857142857143,74
25895.5,25896.75,25892.0,25895.75,189.0,99.47368421052632,89.52631578947368,75
25895.0,25895.0,25887.25,25890.0,215.0,38.145161290322584,176.8548387096774,76
25890.0,25893.5,25886.75,25892.0,237.0,153.61111111111111,83.38888888888889,77
25892.5,25895.0,25890.75,25893.75,181.0,117.11764705882354,63.882352941176464,78
25893.5,25897.75,25889.0,25892.25,271.0,116.14285714285715,154.85714285714283,79
25892.5,25898.0,25890.25,25894.25,223.0,136.67741935483872,86.32258064516128,80
25893.25,25902.75,25893.0,25899.75,441.0,367.49999999999994,73.50000000000006,81
25899.5,25900.25,25892.25,25894.25,385.0,66.171875,318.828125,82
25894.0,25907.5,25893.75,25906.75,516.0,497.23636363636365,18.76363636363635,83
25906.0,25915.0,25903.0,25913.75,620.0,510.20833333333337,109.79166666666663,84
25914.5,25921.5,25914.0,25917.25,901.0,615.6833333333334,285.3166666666666,85
25917.75,25923.25,25897.75,25898.5,819.0,100.36764705882354,718.6323529411765,86
25898.75,25899.75,25890.75,25893.5,786.0,163.74999999999997,622.25,87
25894.0,25898.75,25891.75,25896.5,392.0,266.0,126.0,88
25897.0,25902.5,25892.5,25894.75,567.0,219.7125,347.2875,89
25894.5,25897.25,25891.5,25895.25,380.0,214.78260869565216,165.21739130434784,90
25896.5,25906.5,25895.75,25904.75,323.0,285.4418604651163,37.55813953488371,91
25905.0,25912.0,25902.5,25906.0,422.0,233.21052631578945,188.78947368421055,92
25906.5,25908.75,25901.0,25903.5,588.0,180.19354838709677,407.80645161290323,93
25903.25,25906.25,25893.25,25899.5,1578.0,561.4038461538462,1016.5961538461538,94
