open,high,low,close,volume,buy_volume,sell_volume,bar_idx
21700.75,21813.0,21407.5,21420.25,670634.0,103365.28976572133,567268.7102342787,0
21442.5,21453.75,20990.0,21149.0,805678.0,147888.60323450135,657789.3967654987,1
21230.5,21409.25,21055.0,21187.0,646236.0,283440.84262526466,362795.15737473534,2
21249.0,21386.5,20583.25,20605.75,854180.0,85072.39340180517,769107.6065981948,3
20649.5,20944.25,20460.5,20919.5,845890.0,659007.3255813954,186882.67441860458,4
21005.25,21121.0,20316.75,20468.25,833041.0,138408.58392912653,694632.4160708735,5
20527.0,20732.5,20075.25,20399.0,958071.0,385742.9263978699,572328.0736021302,6
20555.0,20725.0,20215.0,20665.0,783638.0,476328.9803921569,307309.0196078431,7
20605.25,20647.5,20003.0,20089.25,763150.0,76078.1807602793,687071.8192397207,8
20214.5,20286.25,19765.5,20229.75,763257.0,392804.3706192991,370452.6293807009,9
20147.0,20156.5,19272.25,19452.75,798366.0,85772.99406276506,712593.005937235,10
19440.0,19686.75,19139.25,19399.0,857876.0,396816.6155251142,461059.3844748858,11
19412.75,19788.75,19387.0,19618.5,702688.0,531279.3528313627,171408.64716863725,12
19572.0,19694.0,19170.0,19249.0,761160.0,145985.83969465646,615174.1603053436,13
19312.75,19742.5,19296.75,19712.0,742663.0,703926.2310712283,38736.76892877172,14
19668.25,19959.25,19550.5,19831.75,584953.0,409467.1,175485.90000000002,15
19821.0,19858.0,19397.75,19496.75,360195.0,53217.29494839761,306977.7050516024,16
19496.75,19935.0,19455.5,19746.75,210518.0,160138.56204379562,50379.437956204376,17
19746.75,19898.75,19530.25,19678.5,116159.0,47322.5776797829,68836.4223202171,18
19690.75,19728.75,19408.0,19450.810546875,605235.0,76242.20005906567,528992.7999409343,19
20050.5,20409.5,20050.5,20374.25,555043.0,527793.3262534819,27249.673746518092,20
20353.0,20524.75,20293.0,20488.5,470886.0,373102.2297734628,97783.77022653719,21
20511.5,20536.75,20045.0,20116.5,620685.0,61058.743009659396,559626.2569903407,22
20046.0,20199.5,19937.25,19990.25,634738.0,249901.614871306,384836.385128694,23
19995.25,20011.75,19357.5,19457.0,696397.0,61736.37905999236,634660.6209400076,24
19319.75,19489.75,18976.75,19439.5,842547.0,519611.7097953216,322935.2902046784,25
19411.25,19644.0,19261.25,19604.5,790964.0,595160.370999347,195803.62900065305,26
19600.5,20044.25,19076.75,19758.0,835319.0,485650.5813953489,349668.4186046511,27
19020.0,19177.0,18614.0,18675.5,893793.0,173440.2935168739,720352.7064831262,28
18660.0,18713.0,17387.5,17539.0,1199851.0,92557.3479818936,1107293.6520181063,29
17100.0,18361.5,16460.0,17563.25,1140389.0,709107.2542072048,431281.7457927952,30
17665.0,18357.25,16973.5,17243.75,956641.0,332707.1228545619,623933.8771454381,31
17220.25,19386.75,16735.0,19288.75,1086917.0,967383.7973508061,119533.20264919393,32
19266.75,19383.5,17919.0,18484.5,975104.0,227130.31888016386,747973.6811198362,33
18464.75,18873.5,18067.0,18807.5,667630.0,475681.20117792935,191948.79882207065,34
19225.0,19256.0,18737.5,18934.75,570510.0,125572.7169720347,444937.2830279653,35
18902.5,19144.75,18809.0,18960.25,525790.0,308113.7230081906,217676.27699180943,36
18790.0,18861.25,18116.25,18385.25,683175.0,156006.90855704696,527168.0914429531,37
18391.25,18652.75,18261.5,18380.75,629368.0,306238.80638977635,323129.19361022365,38
18306.25,18383.5,17700.0,17922.25,484750.0,106205.28529626921,378544.7147037308,39
17914.0,18514.0,17863.75,18385.0,619146.0,533808.1141868513,85337.88581314869,40
18646.0,19165.5,18623.75,18804.0,733977.0,474019.7561144439,259957.24388555612,41
18826.5,19418.0,18594.75,19322.0,599457.0,480129.9233221986,119327.07667780138,42
19405.0,19589.0,19216.25,19535.25,587589.0,396455.0865191147,191133.91348088533,43
19524.5,19623.0,19257.25,19528.0,514474.0,259698.5980861244,254775.4019138756,44
19478.25,19688.5,19378.0,19642.0,565539.0,431895.12198067637,133643.87801932363,45
19599.75,19880.0,19103.75,19658.5,713642.0,383826.7761674718,329815.2238325282,46
19834.0,20125.75,19757.25,19870.75,588901.0,323815.644843962,265085.355156038,47
19782.5,20276.75,19749.5,20195.25,517806.0,461581.4509246088,56224.5490753912,48
20181.5,20201.75,19966.0,20055.5,418875.0,97500.59650053021,321374.4034994698,49
20014.25,20036.75,19739.0,19876.5,514526.0,138243.76154492024,376282.2384550797,50
19809.0,20133.75,19678.75,19961.0,597360.0,398458.81318681315,198901.18681318685,51
19934.5,20337.25,19910.75,20148.0,567597.0,425864.10316529893,141732.89683470107,52
20157.0,20288.75,20058.0,20136.75,453686.0,206935.8678223185,246750.1321776815,53
20398.5,20996.0,20376.75,20948.75,638564.0,602987.9677028664,35576.032297133585,54
20954.75,21346.5,20818.0,21278.0,526706.0,424429.36187322607,102276.63812677393,55
21250.0,21419.5,21238.25,21392.5,513593.0,458691.67931034486,54901.32068965514,56
21379.75,21529.75,21192.0,21400.25,542990.0,287973.60103626945,255016.39896373055,57
21396.0,21512.0,21320.25,21506.0,419242.0,329872.9426336376,89369.05736636242,58
21310.75,21544.5,21112.5,21527.0,520282.0,390362.04456018517,129919.95543981483,59
21513.0,21562.25,21298.0,21447.25,437865.0,164458.28287606433,273406.7171239357,60
21414.75,21558.5,21072.75,21156.75,605668.0,141987.5316520844,463680.46834791556,61
21145.0,21337.5,21040.0,21178.25,512634.0,284964.1941176471,227669.80588235293,62
21223.75,21236.0,20727.0,20975.0,528055.0,134996.37892927305,393058.62107072695,63
